benchmark,cores,simTicks,simSeconds,overallCPI,totalL1MissesRate,iCacheMissesRate,dCacheMissesRate,speedup,parallelEfficiency
barnes,1,3893850208000,3.893850,4.0775,0.004886,0.000002,0.017157,1.0000,1.0000
barnes,2,1978111958000,1.978112,4.1348,0.005075,0.000003,0.017945,1.9685,0.9842
barnes,4,1033609296000,1.033609,4.3113,0.005265,0.000040,0.018531,3.7672,0.9418
barnes,8,562595660000,0.562596,4.6772,0.005693,0.000094,0.019925,6.9212,0.8652
barnes,16,318912532000,0.318913,5.2994,0.006061,0.000097,0.021223,12.2098,0.7631
fft,1,761326717000,0.761327,3.5657,0.003825,0.000007,0.022335,1.0000,1.0000
fft,2,528238133000,0.528238,4.9470,0.003329,0.000010,0.019421,1.4413,0.7206
fft,4,426255629000,0.426256,7.9814,0.005144,0.003606,0.012604,1.7861,0.4465
fft,8,354545551000,0.354546,13.2689,0.002170,0.000018,0.012606,2.1473,0.2684
fft,16,326393322000,0.326393,24.4008,0.002228,0.000029,0.012888,2.3325,0.1458
lu,1,1352771108000,1.352771,3.1319,0.001231,0.000005,0.005393,1.0000,1.0000
lu,2,755665750000,0.755666,3.4969,0.001231,0.000006,0.005384,1.7902,0.8951
lu,4,457363705000,0.457364,4.2283,0.001238,0.000009,0.005409,2.9578,0.7394
lu,8,307296269000,0.307296,5.6692,0.001248,0.000013,0.005444,4.4022,0.5503
lu,16,230434963000,0.230435,8.4653,0.001263,0.000022,0.005493,5.8705,0.3669
ocean,1,2001866975000,2.001867,5.4908,0.022443,0.000011,0.102789,1.0000,1.0000
ocean,2,975126757000,0.975127,5.3291,0.015494,0.000025,0.070887,2.0529,1.0265
ocean,4,510258949000,0.510259,5.5192,0.019153,0.000091,0.087275,3.9232,0.9808
ocean,8,254880505000,0.254881,5.4578,0.015476,0.000232,0.069916,7.8541,0.9818
ocean,16,137180938000,0.137181,5.7165,0.015323,0.000250,0.068988,14.5929,0.9121
radix,1,431525952000,0.431526,3.4507,0.007433,0.000012,0.053337,1.0000,1.0000
radix,2,218476731000,0.218477,3.4892,0.007377,0.000016,0.052827,1.9752,0.9876
radix,4,112951611000,0.112952,3.5972,0.007540,0.000022,0.053765,3.8204,0.9551
radix,8,59112497000,0.059112,3.7409,0.007505,0.000034,0.053040,7.3001,0.9125
radix,16,33161234000,0.033161,4.1400,0.007773,0.000056,0.053928,13.0130,0.8133
